"data" "maxima" "pd"
2017-05-14 0.92 "dawn"
2017-05-14 0.92 "morn"
2017-05-14 0.89 "after"
2017-05-14 0.75 "night"
2017-05-15 0.87 "dawn"
2017-05-15 0.91 "morn"
2017-05-15 0.9 "after"
2017-05-15 0.84 "night"
2017-05-16 0.9 "dawn"
2017-05-16 0.89 "morn"
2017-05-16 0.83 "after"
2017-05-16 0.74 "night"
2017-05-17 0.83 "dawn"
2017-05-17 0.81 "morn"
2017-05-17 0.79 "after"
2017-05-17 0.61 "night"
2017-05-18 0.68 "dawn"
2017-05-18 0.78 "morn"
2017-05-18 0.75 "after"
2017-05-18 0.67 "night"
2017-05-19 0.87 "dawn"
2017-05-19 0.9 "morn"
2017-05-19 0.88 "after"
2017-05-19 0.54 "night"
2017-05-20 0.82 "dawn"
2017-05-20 0.82 "morn"
2017-05-20 0.84 "after"
2017-05-20 0.57 "night"
2017-05-21 0.77 "dawn"
2017-05-21 0.83 "morn"
2017-05-21 0.69 "after"
2017-05-21 0.55 "night"
2017-05-22 0.76 "dawn"
2017-05-22 0.96 "morn"
2017-05-22 0.86 "after"
2017-05-22 0.72 "night"
2017-05-23 0.79 "dawn"
2017-05-23 0.89 "morn"
2017-05-23 0.9 "after"
2017-05-23 0.68 "night"
2017-05-24 0.81 "dawn"
2017-05-24 0.87 "morn"
2017-05-24 0.81 "after"
2017-05-24 0.6 "night"
2017-05-25 0.69 "dawn"
2017-05-25 0.84 "morn"
2017-05-25 0.84 "after"
2017-05-25 0.6 "night"
2017-05-26 0.75 "dawn"
2017-05-26 0.79 "morn"
2017-05-26 0.76 "after"
2017-05-26 0.6 "night"
2017-05-27 0.91 "dawn"
2017-05-27 0.9 "morn"
2017-05-27 0.85 "after"
2017-05-27 0.69 "night"
2017-05-28 0.91 "dawn"
2017-05-28 0.88 "morn"
2017-05-28 0.79 "after"
2017-05-28 0.57 "night"
2017-05-29 0.92 "dawn"
2017-05-29 0.95 "morn"
2017-05-29 0.89 "after"
2017-05-29 0.7 "night"
2017-05-30 0.88 "dawn"
2017-05-30 0.88 "morn"
2017-05-30 0.84 "after"
2017-05-30 0.58 "night"
2017-05-31 0.7 "dawn"
2017-05-31 0.63 "morn"
2017-05-31 0.5 "after"
2017-05-31 0.56 "night"
2017-06-01 0.7 "dawn"
2017-06-01 0.47 "morn"
2017-06-01 0.36 "after"
2017-06-01 0.71 "night"
2017-06-02 0.93 "dawn"
2017-06-02 0.97 "morn"
2017-06-02 0.95 "after"
2017-06-02 0.74 "night"
2017-06-03 0.87 "dawn"
2017-06-03 0.87 "morn"
2017-06-03 0.84 "after"
2017-06-03 0.67 "night"
2017-06-04 0.87 "dawn"
2017-06-04 0.92 "morn"
2017-06-04 0.92 "after"
2017-06-04 0.71 "night"
2017-06-05 0.93 "dawn"
2017-06-05 0.97 "morn"
2017-06-05 0.97 "after"
2017-06-05 0.71 "night"
2017-06-06 0.9 "dawn"
2017-06-06 0.9 "morn"
2017-06-06 0.91 "after"
2017-06-06 0.76 "night"
2017-06-07 0.88 "dawn"
2017-06-07 0.86 "morn"
2017-06-07 0.83 "after"
2017-06-07 0.82 "night"
2017-06-08 0.82 "dawn"
2017-06-08 0.83 "morn"
2017-06-08 0.87 "after"
2017-06-08 0.52 "night"
2017-06-09 0.65 "dawn"
2017-06-09 0.57 "morn"
2017-06-09 0.33 "after"
2017-06-09 0.29 "night"
2017-06-10 0.4 "dawn"
2017-06-10 0.29 "morn"
2017-06-10 0.64 "after"
2017-06-10 0.67 "night"
2017-06-11 0.92 "dawn"
2017-06-11 0.93 "morn"
2017-06-11 0.83 "after"
2017-06-11 0.7 "night"
2017-06-12 0.89 "dawn"
2017-06-12 0.91 "morn"
2017-06-12 0.88 "after"
2017-06-12 0.73 "night"
2017-06-13 0.87 "dawn"
2017-06-13 0.91 "morn"
2017-06-13 0.88 "after"
2017-06-13 0.7 "night"
2017-06-14 0.84 "dawn"
2017-06-14 0.87 "morn"
2017-06-14 0.91 "after"
2017-06-14 0.59 "night"
2017-06-15 0.86 "dawn"
2017-06-15 0.91 "morn"
2017-06-15 0.93 "after"
2017-06-15 0.73 "night"
2017-06-16 0.87 "dawn"
2017-06-16 0.91 "morn"
2017-06-16 0.91 "after"
2017-06-16 0.65 "night"
2017-06-17 0.87 "dawn"
2017-06-17 0.86 "morn"
2017-06-17 0.85 "after"
2017-06-17 0.74 "night"
2017-06-18 0.94 "dawn"
2017-06-18 0.95 "morn"
2017-06-18 0.89 "after"
2017-06-18 0.73 "night"
2017-06-19 0.88 "dawn"
2017-06-19 0.97 "morn"
2017-06-19 0.88 "after"
2017-06-19 0.76 "night"
2017-06-20 0.93 "dawn"
2017-06-20 0.92 "morn"
2017-06-20 0.84 "after"
2017-06-20 0.68 "night"
2017-06-21 0.84 "dawn"
2017-06-21 0.85 "morn"
2017-06-21 0.82 "after"
2017-06-21 0.66 "night"
2017-06-22 0.81 "dawn"
2017-06-22 0.94 "morn"
2017-06-22 0.82 "after"
2017-06-22 0.64 "night"
2017-06-23 0.83 "dawn"
2017-06-23 0.87 "morn"
2017-06-23 0.88 "after"
2017-06-23 0.77 "night"
2017-06-24 0.92 "dawn"
2017-06-24 0.97 "morn"
2017-06-24 0.97 "after"
2017-06-24 0.69 "night"
2017-06-25 0.86 "dawn"
2017-06-25 0.82 "morn"
2017-06-25 0.87 "after"
2017-06-25 0.57 "night"
2017-06-26 0.76 "dawn"
2017-06-26 0.8 "morn"
2017-06-26 0.71 "after"
2017-06-26 0.81 "night"
2017-06-27 0.91 "dawn"
2017-06-27 0.91 "morn"
2017-06-27 0.93 "after"
2017-06-27 0.74 "night"
2017-06-28 0.92 "dawn"
2017-06-28 0.91 "morn"
2017-06-28 0.93 "after"
2017-06-28 0.82 "night"
2017-06-29 0.92 "dawn"
2017-06-29 0.9 "morn"
2017-06-29 0.92 "after"
2017-06-29 0.7 "night"
2017-06-30 0.94 "dawn"
2017-06-30 0.94 "morn"
2017-06-30 0.93 "after"
2017-06-30 0.66 "night"
2017-07-01 0.97 "dawn"
2017-07-01 0.97 "morn"
2017-07-01 0.88 "after"
2017-07-01 0.72 "night"
2017-07-02 0.89 "dawn"
2017-07-02 0.96 "morn"
2017-07-02 0.92 "after"
2017-07-02 0.75 "night"
2017-07-03 0.91 "dawn"
2017-07-03 0.9 "morn"
2017-07-03 0.83 "after"
2017-07-03 0.81 "night"
2017-07-04 0.83 "dawn"
2017-07-04 0.88 "morn"
2017-07-04 0.85 "after"
2017-07-04 0.71 "night"
2017-07-05 0.87 "dawn"
2017-07-05 0.86 "morn"
2017-07-05 0.87 "after"
2017-07-05 0.66 "night"
2017-07-06 0.88 "dawn"
2017-07-06 0.87 "morn"
2017-07-06 0.9 "after"
2017-07-06 0.57 "night"
2017-07-07 0.9 "dawn"
2017-07-07 0.74 "morn"
2017-07-07 0.45 "after"
2017-07-07 0.62 "night"
2017-07-08 0.86 "dawn"
2017-07-08 0.97 "morn"
2017-07-08 0.72 "after"
2017-07-08 0.69 "night"
2017-07-09 0.92 "dawn"
2017-07-09 0.75 "morn"
2017-07-09 0.45 "after"
2017-07-09 0.57 "night"
2017-07-10 0.89 "dawn"
2017-07-10 0.97 "morn"
2017-07-10 0.98 "after"
2017-07-10 0.73 "night"
2017-07-11 0.85 "dawn"
2017-07-11 0.98 "morn"
2017-07-11 0.97 "after"
2017-07-11 0.68 "night"
2017-07-12 0.9 "dawn"
2017-07-12 0.87 "morn"
2017-07-12 0.8 "after"
2017-07-12 0.64 "night"
2017-07-13 0.82 "dawn"
2017-07-13 0.82 "morn"
2017-07-13 0.78 "after"
2017-07-13 0.71 "night"
2017-07-14 0.96 "dawn"
2017-07-14 0.96 "morn"
2017-07-14 0.97 "after"
2017-07-14 0.76 "night"
2017-07-15 0.88 "dawn"
2017-07-15 0.83 "morn"
2017-07-15 0.82 "after"
2017-07-15 0.65 "night"
2017-07-16 0.77 "dawn"
2017-07-16 0.87 "morn"
2017-07-16 0.89 "after"
2017-07-16 0.59 "night"
2017-07-17 0.84 "dawn"
2017-07-17 0.83 "morn"
2017-07-17 0.74 "after"
2017-07-17 0.39 "night"
2017-07-18 0.47 "dawn"
2017-07-18 0.24 "morn"
2017-07-18 0.48 "after"
2017-07-18 0.57 "night"
2017-07-19 0.75 "dawn"
2017-07-19 0.97 "morn"
2017-07-19 0.82 "after"
2017-07-19 0.6 "night"
2017-07-20 0.96 "dawn"
2017-07-20 0.98 "morn"
2017-07-20 0.98 "after"
2017-07-20 0.74 "night"
2017-07-21 0.88 "dawn"
2017-07-21 0.88 "morn"
2017-07-21 0.85 "after"
2017-07-21 0.7 "night"
2017-07-22 0.89 "dawn"
2017-07-22 0.91 "morn"
2017-07-22 0.89 "after"
2017-07-22 0.67 "night"
2017-07-23 0.77 "dawn"
2017-07-23 0.9 "morn"
2017-07-23 0.91 "after"
2017-07-23 0.73 "night"
2017-07-24 0.92 "dawn"
2017-07-24 0.88 "morn"
2017-07-24 0.82 "after"
2017-07-24 0.41 "night"
2017-07-25 0.62 "dawn"
2017-07-25 0.81 "morn"
2017-07-25 0.75 "after"
2017-07-25 0.7 "night"
2017-07-26 0.97 "dawn"
2017-07-26 0.98 "morn"
2017-07-26 0.89 "after"
2017-07-26 0.74 "night"
2017-07-27 0.97 "dawn"
2017-07-27 0.98 "morn"
2017-07-27 0.98 "after"
2017-07-27 0.74 "night"
2017-07-28 0.93 "dawn"
2017-07-28 0.96 "morn"
2017-07-28 0.92 "after"
2017-07-28 0.69 "night"
2017-07-29 0.9 "dawn"
2017-07-29 0.97 "morn"
2017-07-29 0.98 "after"
2017-07-29 0.68 "night"
2017-07-30 0.94 "dawn"
2017-07-30 0.97 "morn"
2017-07-30 0.98 "after"
2017-07-30 0.68 "night"
2017-07-31 0.92 "dawn"
