"data" "minima" "pd"
2017-07-03 0.76 "dawn"
2017-07-03 0.84 "morn"
2017-07-03 0.7 "after"
2017-07-03 0.69 "night"
2017-07-04 0.72 "dawn"
2017-07-04 0.78 "morn"
2017-07-04 0.46 "after"
2017-07-04 0.34 "night"
2017-07-05 0.79 "dawn"
2017-07-05 0.77 "morn"
2017-07-05 0.38 "after"
2017-07-05 0.24 "night"
2017-07-06 0.72 "dawn"
2017-07-06 0.77 "morn"
2017-07-06 0.38 "after"
2017-07-06 0.32 "night"
2017-07-07 0.61 "dawn"
2017-07-07 0.57 "morn"
2017-07-07 0.18 "after"
2017-07-07 0.18 "night"
2017-07-08 0.69 "dawn"
2017-07-08 0.86 "morn"
2017-07-08 0.38 "after"
2017-07-08 0.29 "night"
2017-07-09 0.77 "dawn"
2017-07-09 0.41 "morn"
2017-07-09 0.12 "after"
2017-07-09 0.15 "night"
2017-07-10 0.65 "dawn"
2017-07-10 0.94 "morn"
2017-07-10 0.59 "after"
2017-07-10 0.45 "night"
2017-07-11 0.7 "dawn"
2017-07-11 0.59 "morn"
2017-07-11 0.69 "after"
2017-07-11 0.54 "night"
2017-07-12 0.72 "dawn"
2017-07-12 0.81 "morn"
2017-07-12 0.55 "after"
2017-07-12 0.47 "night"
2017-07-13 0.72 "dawn"
2017-07-13 0.78 "morn"
2017-07-13 0.55 "after"
2017-07-13 0.48 "night"
2017-07-14 0.75 "dawn"
2017-07-14 0.87 "morn"
2017-07-14 0.58 "after"
2017-07-14 0.53 "night"
2017-07-15 0.78 "dawn"
2017-07-15 0.81 "morn"
2017-07-15 0.49 "after"
2017-07-15 0.42 "night"
2017-07-16 0.69 "dawn"
2017-07-16 0.78 "morn"
2017-07-16 0.47 "after"
2017-07-16 0.38 "night"
2017-07-17 0.67 "dawn"
2017-07-17 0.74 "morn"
2017-07-17 0.25 "after"
2017-07-17 0.13 "night"
2017-07-18 0.24 "dawn"
2017-07-18 0.18 "morn"
2017-07-18 0.15 "after"
2017-07-18 0.32 "night"
2017-07-19 0.51 "dawn"
2017-07-19 0.35 "morn"
2017-07-19 0.23 "after"
2017-07-19 0.28 "night"
2017-07-20 0.68 "dawn"
2017-07-20 0.97 "morn"
2017-07-20 0.7 "after"
2017-07-20 0.56 "night"
2017-07-21 0.78 "dawn"
2017-07-21 0.85 "morn"
2017-07-21 0.73 "after"
2017-07-21 0.63 "night"
2017-07-22 0.73 "dawn"
2017-07-22 0.84 "morn"
2017-07-22 0.5 "after"
2017-07-22 0.4 "night"
2017-07-23 0.7 "dawn"
2017-07-23 0.71 "morn"
2017-07-23 0.41 "after"
2017-07-23 0.34 "night"
2017-07-24 0.79 "dawn"
2017-07-24 0.84 "morn"
2017-07-24 0.22 "after"
2017-07-24 0.22 "night"
2017-07-25 0.48 "dawn"
2017-07-25 0.45 "morn"
2017-07-25 0.59 "after"
2017-07-25 0.55 "night"
2017-07-26 0.69 "dawn"
2017-07-26 0.98 "morn"
2017-07-26 0.37 "after"
2017-07-26 0.43 "night"
2017-07-27 0.77 "dawn"
2017-07-27 0.97 "morn"
2017-07-27 0.63 "after"
2017-07-27 0.56 "night"
2017-07-28 0.8 "dawn"
2017-07-28 0.92 "morn"
2017-07-28 0.59 "after"
2017-07-28 0.51 "night"
2017-07-29 0.73 "dawn"
2017-07-29 0.88 "morn"
2017-07-29 0.7 "after"
2017-07-29 0.55 "night"
2017-07-30 0.73 "dawn"
2017-07-30 0.9 "morn"
2017-07-30 0.57 "after"
2017-07-30 0.46 "night"
2017-07-31 0.76 "dawn"
